source,relation,target,target_type
COVID-19,associated_with,Diabetes,disease
Migraine,treated_by,Beta Blockers,treatment
Diabetes,treated_by,NSAIDs,treatment
Angina,diagnosed_by,Urinalysis,diagnostic_test
Diabetes,associated_with,Conjunctivitis,disease
Antibiotics,prescribed_by,Infectious Disease Specialist,specialist
Angina,diagnosed_by,CT Scan,diagnostic_test
Asthma,managed_by,Rheumatologist,specialist
Conjunctivitis,treated_by,Insulin,treatment
Tuberculosis,diagnosed_by,MRI,diagnostic_test
Diabetes,causes,Sore Throat,symptom
Migraine,causes,Blurred Vision,symptom
Fever,indicates,Conjunctivitis,disease
COVID-19,associated_with,Pneumonia,disease
Arthritis,treated_by,Corticosteroids,treatment
Rash,indicates,Bronchitis,disease
Pneumonia,associated_with,Conjunctivitis,disease
Angina,treated_by,ACE Inhibitors,treatment
Diabetes,diagnosed_by,X-Ray,diagnostic_test
Tuberculosis,diagnosed_by,MRI,diagnostic_test
Sore Throat,indicates,Arthritis,disease
Influenza,diagnosed_by,CT Scan,diagnostic_test
NSAIDs,prescribed_by,Endocrinologist,specialist
Hypertension,diagnosed_by,MRI,diagnostic_test
Influenza,diagnosed_by,Urinalysis,diagnostic_test
Antivirals,prescribed_by,Infectious Disease Specialist,specialist
Eye Drops,prescribed_by,General Practitioner,specialist
Headache,indicates,COVID-19,disease
Migraine,associated_with,Diabetes,disease
Insulin,prescribed_by,Infectious Disease Specialist,specialist
Diabetes,managed_by,Pulmonologist,specialist
Influenza,managed_by,Ophthalmologist,specialist
Tuberculosis,managed_by,Infectious Disease Specialist,specialist
Tuberculosis,causes,Blurred Vision,symptom
Antivirals,prescribed_by,Rheumatologist,specialist
COVID-19,causes,Fever,symptom
Migraine,managed_by,Pulmonologist,specialist
Arthritis,causes,Dizziness,symptom
Diabetes,associated_with,Diabetes,disease
Tuberculosis,causes,Blurred Vision,symptom
Migraine,associated_with,Migraine,disease
Bronchitis,managed_by,Neurologist,specialist
Bronchitis,associated_with,Pneumonia,disease
Arthritis,associated_with,Influenza,disease
Dizziness,indicates,Pneumonia,disease
Influenza,treated_by,Eye Drops,treatment
Hypertension,treated_by,NSAIDs,treatment
Chest Pain,indicates,Diabetes,disease
Nitroglycerin,prescribed_by,Endocrinologist,specialist
Eye Drops,prescribed_by,Neurologist,specialist
Diabetes,causes,Joint Pain,symptom
Hypertension,diagnosed_by,CT Scan,diagnostic_test
Antibiotics,prescribed_by,General Practitioner,specialist
Pneumonia,causes,Rash,symptom
Asthma,treated_by,NSAIDs,treatment
Headache,indicates,Bronchitis,disease
Headache,indicates,Asthma,disease
Bronchitis,causes,Headache,symptom
Angina,diagnosed_by,Urinalysis,diagnostic_test
Diabetes,associated_with,Arthritis,disease
Diabetes,associated_with,Tuberculosis,disease
Asthma,treated_by,Nitroglycerin,treatment
Influenza,causes,Headache,symptom
Hypertension,causes,Blurred Vision,symptom
Asthma,managed_by,General Practitioner,specialist
Asthma,treated_by,NSAIDs,treatment
Antivirals,prescribed_by,Rheumatologist,specialist
Angina,causes,Fatigue,symptom
Influenza,associated_with,Asthma,disease
Rash,indicates,Angina,disease
COVID-19,causes,Fatigue,symptom
Corticosteroids,prescribed_by,Ophthalmologist,specialist
Antibiotics,prescribed_by,General Practitioner,specialist
Hypertension,associated_with,Pneumonia,disease
Hypertension,treated_by,Inhalers,treatment
Hypertension,diagnosed_by,CT Scan,diagnostic_test
Asthma,treated_by,Beta Blockers,treatment
Angina,managed_by,Endocrinologist,specialist
Angina,treated_by,ACE Inhibitors,treatment
Pneumonia,managed_by,General Practitioner,specialist
Angina,causes,Nausea,symptom
Migraine,associated_with,Asthma,disease
Migraine,managed_by,Neurologist,specialist
NSAIDs,prescribed_by,Dermatologist,specialist
Chest Pain,indicates,Influenza,disease
Influenza,managed_by,Cardiologist,specialist
COVID-19,managed_by,Ophthalmologist,specialist
IV Fluids,prescribed_by,Infectious Disease Specialist,specialist
COVID-19,treated_by,Insulin,treatment
Antivirals,prescribed_by,General Practitioner,specialist
Tuberculosis,managed_by,Infectious Disease Specialist,specialist
Diabetes,managed_by,Ophthalmologist,specialist
Asthma,diagnosed_by,MRI,diagnostic_test
Influenza,diagnosed_by,Blood Test,diagnostic_test
Antibiotics,prescribed_by,Rheumatologist,specialist
Chest Pain,indicates,Asthma,disease
COVID-19,causes,Joint Pain,symptom
Arthritis,managed_by,Endocrinologist,specialist
Influenza,causes,Blurred Vision,symptom
Antivirals,prescribed_by,Cardiologist,specialist
Headache,indicates,Influenza,disease
Nausea,indicates,Pneumonia,disease
Conjunctivitis,managed_by,Pulmonologist,specialist
Joint Pain,indicates,Conjunctivitis,disease
Diabetes,diagnosed_by,MRI,diagnostic_test
Blurred Vision,indicates,Conjunctivitis,disease
Hypertension,diagnosed_by,X-Ray,diagnostic_test
Influenza,treated_by,Beta Blockers,treatment
Hypertension,associated_with,Conjunctivitis,disease
Hypertension,associated_with,Conjunctivitis,disease
Pain Relievers,prescribed_by,Rheumatologist,specialist
Headache,indicates,Asthma,disease
Dizziness,indicates,Diabetes,disease
Angina,managed_by,Infectious Disease Specialist,specialist
Arthritis,causes,Headache,symptom
Rash,indicates,Migraine,disease
Influenza,associated_with,Asthma,disease
Arthritis,associated_with,Tuberculosis,disease
Tuberculosis,treated_by,Antibiotics,treatment
Bronchitis,treated_by,Eye Drops,treatment
Cough,indicates,Tuberculosis,disease
Rash,indicates,Hypertension,disease
Bronchitis,associated_with,Arthritis,disease
Conjunctivitis,managed_by,Ophthalmologist,specialist
Arthritis,managed_by,General Practitioner,specialist
Conjunctivitis,associated_with,Bronchitis,disease
COVID-19,diagnosed_by,MRI,diagnostic_test
Influenza,associated_with,Pneumonia,disease
Conjunctivitis,associated_with,Arthritis,disease
Arthritis,associated_with,Asthma,disease
COVID-19,managed_by,Rheumatologist,specialist
Pneumonia,managed_by,Ophthalmologist,specialist
Influenza,causes,Shortness of Breath,symptom
Fatigue,indicates,Angina,disease
Chest Pain,indicates,Influenza,disease
NSAIDs,prescribed_by,Endocrinologist,specialist
Asthma,causes,Shortness of Breath,symptom
Arthritis,associated_with,Conjunctivitis,disease
Angina,diagnosed_by,CT Scan,diagnostic_test
Hypertension,diagnosed_by,Blood Test,diagnostic_test
Corticosteroids,prescribed_by,General Practitioner,specialist
Tuberculosis,managed_by,Dermatologist,specialist
IV Fluids,prescribed_by,Rheumatologist,specialist
Diabetes,associated_with,Influenza,disease
Hypertension,causes,Chest Pain,symptom
Tuberculosis,causes,Blurred Vision,symptom
Pneumonia,managed_by,Ophthalmologist,specialist
Hypertension,associated_with,Influenza,disease
Corticosteroids,prescribed_by,Infectious Disease Specialist,specialist
Pneumonia,associated_with,Tuberculosis,disease
Pneumonia,causes,Rash,symptom
Eye Drops,prescribed_by,General Practitioner,specialist
Diabetes,treated_by,Antibiotics,treatment
Hypertension,associated_with,Bronchitis,disease
Hypertension,associated_with,COVID-19,disease
COVID-19,managed_by,Pulmonologist,specialist
Hypertension,causes,Shortness of Breath,symptom
Migraine,associated_with,Arthritis,disease
